METHOD,ENDPOINT,TIMESTAMP,SUCCESS
eth_accounts,https://eth.merkle.io,1711409062,True
eth_coinbase,https://eth.merkle.io,1711409062,True
eth_gasPrice,https://eth.merkle.io,1711409062,True
eth_maxPriorityFeePerGas,https://eth.merkle.io,1711409062,True
eth_getUncleCountByBlockHash,https://eth.merkle.io,1711409062,True
eth_getUncleCountByBlockNumber,https://eth.merkle.io,1711409062,False
eth_newBlockFilter,https://eth.merkle.io,1711409062,False
eth_newPendingTransactionFilter,https://eth.merkle.io,1711409062,False
eth_newFilter,https://eth.merkle.io,1711409062,False
eth_getStorageAt,https://eth.merkle.io,1711409062,True
eth_getBlockTransactionCountByNumber,https://eth.merkle.io,1711409062,True
eth_getCode,https://eth.merkle.io,1711409062,True
eth_chainId,https://eth.merkle.io,1711409062,True
eth_syncing,https://eth.merkle.io,1711409062,True
eth_getLogs,https://eth.merkle.io,1711409062,True
eth_getBlockTransactionCountByHash,https://eth.merkle.io,1711409062,True
eth_getTransactionByHash,https://eth.merkle.io,1711409062,True
eth_getBlockByHash,https://eth.merkle.io,1711409062,True
eth_createAccessList,https://eth.merkle.io,1711409062,False
eth_blobBaseFee,https://eth.merkle.io,1711409062,True
eth_getTransactionByBlockNumberAndIndex,https://eth.merkle.io,1711409062,True
debug_getRawTransaction,https://eth.merkle.io,1711409062,False
eth_feeHistory,https://eth.merkle.io,1711409062,True
eth_getBlockReceipts,https://eth.merkle.io,1711409062,True
debug_getRawHeader,https://eth.merkle.io,1711409062,False
eth_getTransactionByBlockHashAndIndex,https://eth.merkle.io,1711409062,True
eth_getTransactionCount,https://eth.merkle.io,1711409062,True
eth_estimateGas,https://eth.merkle.io,1711409062,True
eth_getBalance,https://eth.merkle.io,1711409062,True
eth_call,https://eth.merkle.io,1711409062,True
eth_getTransactionReceipt,https://eth.merkle.io,1711409062,True
eth_getProof,https://eth.merkle.io,1711409062,True
eth_sendRawTransaction,https://eth.merkle.io,1711409062,False
eth_blockNumber,https://eth.merkle.io,1711409062,True
eth_getBlockByNumber,https://eth.merkle.io,1711409062,True
debug_getRawReceipts,https://eth.merkle.io,1711409062,False
debug_getRawBlock,https://eth.merkle.io,1711409062,False
eth_accounts,https://eth.llamarpc.com,1711409062,True
eth_coinbase,https://eth.llamarpc.com,1711409062,True
eth_gasPrice,https://eth.llamarpc.com,1711409062,True
eth_maxPriorityFeePerGas,https://eth.llamarpc.com,1711409062,True
eth_getUncleCountByBlockHash,https://eth.llamarpc.com,1711409062,True
eth_getUncleCountByBlockNumber,https://eth.llamarpc.com,1711409062,False
eth_newBlockFilter,https://eth.llamarpc.com,1711409062,False
eth_newPendingTransactionFilter,https://eth.llamarpc.com,1711409062,False
eth_newFilter,https://eth.llamarpc.com,1711409062,False
eth_getBlockTransactionCountByNumber,https://eth.llamarpc.com,1711409062,True
eth_chainId,https://eth.llamarpc.com,1711409062,True
eth_syncing,https://eth.llamarpc.com,1711409062,True
eth_getLogs,https://eth.llamarpc.com,1711409062,True
eth_getBlockTransactionCountByHash,https://eth.llamarpc.com,1711409062,True
eth_getTransactionByHash,https://eth.llamarpc.com,1711409062,True
eth_getBlockByHash,https://eth.llamarpc.com,1711409062,True
eth_createAccessList,https://eth.llamarpc.com,1711409062,False
eth_blobBaseFee,https://eth.llamarpc.com,1711409062,True
eth_getTransactionByBlockNumberAndIndex,https://eth.llamarpc.com,1711409062,True
debug_getRawTransaction,https://eth.llamarpc.com,1711409062,False
eth_feeHistory,https://eth.llamarpc.com,1711409062,True
eth_getBlockReceipts,https://eth.llamarpc.com,1711409062,True
debug_getRawHeader,https://eth.llamarpc.com,1711409062,False
eth_getTransactionCount,https://eth.llamarpc.com,1711409062,True
eth_estimateGas,https://eth.llamarpc.com,1711409062,True
eth_getBalance,https://eth.llamarpc.com,1711409062,True
eth_call,https://eth.llamarpc.com,1711409062,True
eth_getTransactionReceipt,https://eth.llamarpc.com,1711409062,True
eth_getProof,https://eth.llamarpc.com,1711409062,True
eth_sendRawTransaction,https://eth.llamarpc.com,1711409062,False
eth_blockNumber,https://eth.llamarpc.com,1711409062,True
eth_getBlockByNumber,https://eth.llamarpc.com,1711409062,True
debug_getRawReceipts,https://eth.llamarpc.com,1711409062,False
debug_getRawBlock,https://eth.llamarpc.com,1711409062,False
eth_accounts,https://rpc.flashbots.net,1711409062,True
eth_coinbase,https://rpc.flashbots.net,1711409062,False
eth_gasPrice,https://rpc.flashbots.net,1711409062,True
eth_maxPriorityFeePerGas,https://rpc.flashbots.net,1711409062,True
eth_getUncleCountByBlockHash,https://rpc.flashbots.net,1711409062,True
eth_getUncleCountByBlockNumber,https://rpc.flashbots.net,1711409062,False
eth_newBlockFilter,https://rpc.flashbots.net,1711409062,True
eth_newPendingTransactionFilter,https://rpc.flashbots.net,1711409062,False
eth_newFilter,https://rpc.flashbots.net,1711409062,False
eth_getStorageAt,https://rpc.flashbots.net,1711409062,True
eth_getBlockTransactionCountByNumber,https://rpc.flashbots.net,1711409062,True
eth_getCode,https://rpc.flashbots.net,1711409062,True
eth_chainId,https://rpc.flashbots.net,1711409062,True
eth_syncing,https://rpc.flashbots.net,1711409062,True
eth_getLogs,https://rpc.flashbots.net,1711409062,True
eth_getBlockTransactionCountByHash,https://rpc.flashbots.net,1711409062,True
